表名,模块,估算行数
"AAI_AABizType","AAI","103"
"AAI_AABizType_Trl","AAI","128"
"AAI_AABizTypeSet","AAI","158"
"AAI_AAISrcDocTypeEntity","AAI","80"
"AAI_AAISrcDocTypeEntity_Trl","AAI","80"
"AAI_AccountTemplate","AAI","12883"
"AAI_CreateTransEntryLog","AAI","518767"
"AAI_CreatFromPredeterminedTempletLog","AAI","374"
"AAI_DeleteVoucherLog","AAI","46510"
"AAI_Factor","AAI","372"
"AAI_Factor_Trl","AAI","372"
"AAI_FactorDataSource","AAI","4290"
"AAI_FactorDataSource_Trl","AAI","90"
"AAI_MergeCondition","AAI","0"
"AAI_PAFactor","AAI","109"
"AAI_PredeterminedAccount","AAI","169"
"AAI_PredeterminedAccount_Trl","AAI","172"
"AAI_PreTempletContrast","AAI","250"
"AAI_TransactionEntry","AAI","12367719"
"AAI_TransactionEntry_Trl","AAI","112974594"
"AAI_TransEntryBody","AAI","0"
"AAI_TransEntryBody_Trl","AAI","0"
"AAI_TransEntryExceptionInfo","AAI","80412"
"AAI_TransEntryHead","AAI","3585099"
"AAI_TransEntryHead_Trl","AAI","3585099"
"AAI_TransEntryHeadTemplet","AAI","3822"
"AAI_TransEntryHeadTemplet_Trl","AAI","3852"
"AAI_TransEntryMemoBook","AAI","0"
"AAI_TransEntryMemoBook_Trl","AAI","0"
"AAI_TransEntryTemplet","AAI","24416"
"AAI_TransEntryTemplet_Trl","AAI","24311"
"AAI_TransVoucherToGLlog","AAI","3531247"
"AB_ABImpropriateRecord","AB","0"
"AB_BudgetControlData","AB","0"
"AB_BudgetControlIndexData","AB","0"
"AB_BudgetControlObject","AB","0"
"AB_BudgetControlObject_Trl","AB","0"
"AB_BudgetControlObjectDetail","AB","0"
"AB_BudgetControlObjectMapData","AB","0"
"AB_BudgetControlPeriod","AB","0"
"AB_BudgetControlScheme","AB","0"
"AB_BudgetControlScheme_Trl","AB","0"
"AB_BudgetDocEncumbData","AB","0"
"AB_BudgetEncumbData","AB","0"
"AB_BudgetEncumbDetail","AB","0"
"AB_BudgetEncumbDetail_Trl","AB","0"
"AB_BudgetEncumbExeInterface","AB","0"
"AB_BudgetEncumbVoucher","AB","0"
"AB_BudgetEncumbVoucher_Trl","AB","0"
"AB_BudgetEncumbVoucherDetail","AB","0"
"AB_BudgetEncumbVoucherType","AB","20"
"AB_BudgetEncumbVoucherType_Trl","AB","42"
"AB_BudgetExecuteData","AB","0"
"AB_BudgetExeInterface","AB","0"
"AB_BudgetGroup","AB","0"
"AB_BudgetGroup_Trl","AB","0"
"AB_BudgetMakeData","AB","0"
"AB_BudgetObject","AB","0"
"AB_BudgetObject_Trl","AB","0"
"AB_BudgetObjectDetail","AB","0"
"AB_BudgetPeriod","AB","0"
"AB_BudgetScheme","AB","0"
"AB_BudgetScheme_Trl","AB","0"
"AB_BudgetSchemeVersion","AB","0"
"AB_BudgetSchemeVersion_Trl","AB","0"
"AB_BudgetYear","AB","0"
"abc","abc","5184"
"ABC_ABCClass","ABC","0"
"ABC_ABCClass_Trl","ABC","0"
"ABC_ABCClassGroup","ABC","0"
"ABC_ABCClassGroup_Trl","ABC","0"
"ABC_ABCClassGroupDetail","ABC","0"
"ABC_ABCClassGroupDetail_Trl","ABC","0"
"ABC_ABCClassItem","ABC","0"
"ABC_ABCClassItem_Trl","ABC","0"
"ABC_ABCProcess","ABC","0"
"ABC_ABCProcess_Trl","ABC","0"
"ABC_ABCProcessDetail","ABC","0"
"ABC_ABCProcessDetail_Trl","ABC","0"
"ABI_FigureTempletAssociate","ABI","0"
"ABI_TBCollectRecord","ABI","0"
"ABI_TBFactor","ABI","377"
"ABI_TBFactor_Trl","ABI","703"
"ABI_TBFactorDataSource","ABI","1850"
"ABI_TBFigureFactor","ABI","0"
"ABI_TBFigureTemplet","ABI","0"
"ABI_TBRecord","ABI","0"
"ABI_TBTemplet","ABI","118"
"ABI_TBTemplet_Trl","ABI","216"
"Activity","Activity","0"
"ActivityExecutionStatus","ActivityExecutionStatus","6"
"ActivityExecutionStatusEvent","ActivityExecutionStatusEvent","0"
"ActivityInstance","ActivityInstance","0"
"AddedActivity","AddedActivity","0"
"ads_cw_01srcb","ads","0"
"AM_AttAbnormalDescDetail","AM","0"
"AM_AttAbnormalDescReplacementCard","AM","0"
"AM_AttendanceAbnormalDescDoc","AM","0"
"AM_AttendanceAbnormalDescDoc_Trl","AM","0"
"AM_AttendanceAbnormalDescDocType","AM","0"
"AM_AttendanceAbnormalDescDocType_Trl","AM","0"
"AM_AttendanceCalendar","AM","0"
"AM_AttendanceCalendar_Trl","AM","0"
"AM_AttendanceCard","AM","0"
"AM_AttendanceCheckDoc","AM","0"
"AM_AttendanceCheckDoc_Trl","AM","0"
"AM_AttendanceCheckDocLine","AM","0"
"AM_AttendanceCheckDocType","AM","0"
"AM_AttendanceCheckDocType_Trl","AM","0"
"AM_AttendanceMachine","AM","0"
"AM_AttendanceMachine_Trl","AM","0"
"AM_AttendanceMachineType","AM","0"
"AM_AttendanceMachineType_Trl","AM","0"
"AM_AttendanceMachineUsedByOrg","AM","0"
"AM_AttendancePeriod","AM","0"
"AM_AttendancePeriod_Trl","AM","0"
"AM_AttendancePerson","AM","0"
"AM_AttendanceRules","AM","0"
"AM_AttendanceRules_Trl","AM","0"
"AM_AttendanceRulesAdapt","AM","0"
"AM_DailyAttendanceProject","AM","10"
"AM_DailyAttendanceProject_Trl","AM","10"
"AM_DailyAttendanceProjectRulesDefine","AM","0"
"AM_EmployeeAttendanceRecord","AM","0"
"AM_EmployeeAttendanceRecord_Trl","AM","0"
"AM_FinalAttendanceProject","AM","24"
"AM_FinalAttendanceProject_Trl","AM","24"
"AM_FinalAttendanceProjectRulesDefine","AM","0"
"AM_FinalAttendanceResult","AM","0"
"AM_FinalAttendanceResult_Trl","AM","0"
"AM_Holiday","AM","0"
"AM_Holiday_Trl","AM","0"
"AM_HolidayDateDetail","AM","0"
"AM_HolidayDefine","AM","0"
"AM_HolidayDefine_Trl","AM","0"
"AM_HolidayLineArrangement","AM","0"
"AM_HolidayRules","AM","0"
"AM_HolidayRules_Trl","AM","0"
"AM_LeaveDoc","AM","0"
"AM_LeaveDoc_Trl","AM","0"
"AM_LeaveDocType","AM","0"
"AM_LeaveDocType_Trl","AM","0"
"AM_LeaveSituation","AM","0"
"AM_OverTimeDoc","AM","0"
"AM_OverTimeDoc_Trl","AM","0"
"AM_OverTimeDocPerson","AM","0"
"AM_OverTimeDocType","AM","0"
"AM_OverTimeDocType_Trl","AM","0"
"AM_OverTimeHours","AM","0"
"AM_OverTimePersonDetail","AM","0"
"AM_PersonRange","AM","0"
"AM_PunchDataFormat","AM","0"
"AM_RestHours","AM","0"
"AM_SchedulingDoc","AM","0"
"AM_SchedulingDoc_Trl","AM","0"
"AM_SchedulingDocType","AM","0"
"AM_SchedulingDocType_Trl","AM","0"
"AM_ShutdownDoc","AM","0"
"AM_ShutdownDoc_Trl","AM","0"
"AM_ShutdownDocType","AM","0"
"AM_ShutdownDocType_Trl","AM","0"
"AM_ShutdownHours","AM","0"
"AM_ShutdownPersonDetail","AM","0"
"AM_SignInData","AM","0"
"AM_SignInLocation","AM","0"
"AM_SignInLocation_Trl","AM","0"
"AM_TransferFrequencyDoc","AM","0"
"AM_TransferFrequencyDoc_Trl","AM","0"
"AM_TransferFrequencyDocLine","AM","0"
"AM_TransferFrequencyDocType","AM","0"
"AM_TransferFrequencyDocType_Trl","AM","0"
"AM_TravelCompensative","AM","0"
"AM_TravelCompensativeRulesDetail","AM","0"
"AM_TravelDoc","AM","0"
"AM_TravelDoc_Trl","AM","0"
"AM_TravelDocPerson","AM","0"
"AM_TravelDocType","AM","0"
"AM_TravelDocType_Trl","AM","0"
"AM_TravelSituation","AM","0"
"AM_VacationAmount","AM","0"
"AM_VacationAmountChangeDoc","AM","0"
"AM_VacationAmountChangeDoc_Trl","AM","0"
"AM_VacationAmountChangeDocType","AM","0"
"AM_VacationAmountChangeDocType_Trl","AM","0"
"AM_VacationAmountChangeRecord","AM","0"
"AM_VacationAmountLine","AM","0"
"AM_VacationAmountLineLine","AM","0"
"AM_WorkingHours","AM","0"
"AM_WorkingHours_Trl","AM","0"
"AM_WorkingHoursArrangement","AM","0"
"AM_WorkingPersonArrangement","AM","0"
"AM_WorkingPersonDetail","AM","0"
"AM_WorkingTimeSystem","AM","0"
"AM_WorkingTimeSystem_Trl","AM","0"
"AM_WorkingTimeSystemAdapter","AM","0"
"AM_WorkOverTimeRules","AM","0"
"AP_APAdjustDocType","AP","12"
"AP_APAdjustDocType_Trl","AP","12"
"AP_APAdjustHead","AP","1"
"AP_APAdjustHead_Trl","AP","1"
"AP_APAdjustLine","AP","1"
"AP_APAdjustLineForUI","AP","1"
"AP_APApplyDocType","AP","12"
"AP_APApplyDocType_Trl","AP","12"
"AP_APApplyHead","AP","15837"
"AP_APApplyHead_Trl","AP","15837"
"AP_APApplyLine","AP","182624"
"AP_APApplyMatchSetBEHead","AP","3"
"AP_APApplyMatchSetBEHead_Trl","AP","3"
"AP_APApplyMatchSetBELine","AP","0"
"AP_APApplyMCXRData","AP","6"
"AP_APAutoAdjustCfg","AP","0"
"AP_APBillAddress","AP","51775"
"AP_APBillAddress_Trl","AP","1876"
"AP_APBillBatch","AP","0"
"AP_APBillBatch_Trl","AP","0"
"AP_APBillContactMan","AP","52537"
"AP_APBillContactMan_Trl","AP","1069"
"AP_APBillFeeDetail","AP","1"
"AP_APBillHead","AP","31063"
"AP_APBillHead_Trl","AP","31063"
"AP_APBillLine","AP","231561"
"AP_APBillLine_Trl","AP","231557"
"AP_APBillLineInvoiceDetail","AP","0"
"AP_APBillLog","AP","720065"
"AP_APBillMatchInvoiceDetail","AP","28234"
"AP_APBillMergeAccrueFeeDetail","AP","0"
"AP_APBillMergeAccrueLine","AP","120916"
"AP_APBillMergeAccrueLine_Trl","AP","32"
"AP_APBillMergeAccrueTaxDetail","AP","120916"
"AP_APBillTaxDetail","AP","225988"
"AP_APDocType","AP","710"
"AP_APDocType_Trl","AP","710"
"AP_APDocTypeAndExRateType","AP","0"
"AP_APDTDocType","AP","12"
"AP_APDTDocType_Trl","AP","12"
"AP_APDTHead","AP","194"
"AP_APDTHead_Trl","AP","194"
"AP_APDTLine","AP","224"
"AP_APDTLineForUI","AP","209"
"AP_APHoldRecord","AP","0"
"AP_APHoldType","AP","0"
"AP_APHoldType_Trl","AP","0"
"AP_APInstalment","AP","231561"
"AP_APInstalmentHistorystory","AP","0"
"AP_APMatchDocType","AP","22"
"AP_APMatchDocType_Trl","AP","22"
"AP_APMatchFeeDetail","AP","30131"
"AP_APMatchFeeDetailSOB","AP","30131"
"AP_APMatchHead","AP","17442"
"AP_APMatchHead_Trl","AP","17442"
"AP_APMatchLine","AP","351163"
"AP_APMatchLineSOB","AP","351163"
"AP_APMatchTaxDetail","AP","321021"
"AP_APMatchTaxDetailSOB","AP","321021"
"AP_APMatchVariousDetail","AP","0"
"AP_APMatchVariousDimension","AP","0"
"AP_APMatchVariousDimension_Trl","AP","0"
"AP_APPeriodClose","AP","4530"
"AP_APPostedBalance","AP","1074142"
"AP_APPostedBalance_Trl","AP","1074142"
"AP_APPostedDetail","AP","796330"
"AP_APPostedDetail_Trl","AP","906586"
"AP_APProcessLog","AP","0"
"AP_APStatistic","AP","165492"
"AP_APStatistic_Trl","AP","165492"
"AP_APToGL","AP","21453"
"AP_APToGL_Trl","AP","11507"
"AP_APXGALDocType","AP","12"
"AP_APXGALDocType_Trl","AP","12"
"AP_APXGALHead","AP","48"
"AP_APXGALHead_Trl","AP","48"
"AP_APXGALLine","AP","13706"
"AP_ARAPCADocType","AP","12"
"AP_ARAPCADocType_Trl","AP","12"
"AP_ARAPCAHead","AP","736"
"AP_ARAPCAHead_Trl","AP","736"
"AP_ARAPCALine","AP","48130"
"AP_ARAPCALineForUI","AP","6169"
"AP_ARAPCAMCXRData","AP","0"
"AP_AutoPayReqFundScheme","AP","0"
"AP_AutoPayReqFundScheme_Trl","AP","0"
"AP_ConfirmReqFundDetailLine","AP","134298"
"AP_ConfirmReqFundDetailLineForUI","AP","19282"
"AP_ConfirmReqFundDocType","AP","126"
"AP_ConfirmReqFundDocType_Trl","AP","126"
"AP_ConfirmReqFundHead","AP","17212"
"AP_ConfirmReqFundHead_Trl","AP","17212"
"AP_ConfirmReqFundLine","AP","17995"
"AP_ConfirmReqFundLine_Trl","AP","17978"
"AP_ConfirmReqFundUseLine","AP","20094"
"AP_EntityTypeDic","AP","8951"
"AP_MemosRelateAPInvoiceDetail","AP","0"
"AP_PayBillBatch","AP","0"
"AP_PayBillBatch_Trl","AP","0"
"AP_PayBillHead","AP","17236"
"AP_PayBillHead_Trl","AP","17236"
"AP_PayBillHeadCheckHistory","AP","0"
"AP_PayBillHeadCheckHistory_Trl","AP","0"
"AP_PayBillLine","AP","18019"
"AP_PayBillLine_Trl","AP","18019"
"AP_PayBillUseLine","AP","134343"
"AP_PayBillUseLine_Trl","AP","134343"
"AP_PayBillUseLineCheckHistory","AP","0"
"AP_PayBillUseLineCheckHistory_Trl","AP","0"
"AP_PayDetail","AP","0"
"AP_PayDocType","AP","134"
"AP_PayDocType_Trl","AP","134"
"AP_PaymentProcessLog","AP","164457"
"AP_PayReqBillHead","AP","8470"
"AP_PayReqBillHead_Trl","AP","8464"
"AP_PayReqFundCapSimu","AP","0"
"AP_PayReqFundDetail","AP","140047"
"AP_PayReqFundDetailForUI","AP","19006"
"AP_PayReqFundDocType","AP","154"
"AP_PayReqFundDocType_Trl","AP","154"
"AP_PayReqFundUse","AP","19300"
"AP_PayReqFundUse_Trl","AP","19300"
"AP_ReqSchedulingDetail","AP","0"
"AP_ReqSchedulingDocType","AP","15"
"AP_ReqSchedulingDocType_Trl","AP","15"
"AP_ReqSchedulingHead","AP","0"
"AP_ReqSchedulingHead_Trl","AP","0"
"AP_ReqSchedulingLine","AP","0"
"AP_ReqSchedulingLine_Trl","AP","0"
"AP_WHTCertDocType","AP","23"
"AP_WHTCertDocType_Trl","AP","23"
"AP_WHTCertHead","AP","0"
"AP_WHTCertHead_Trl","AP","0"
"AP_WHTCertLine","AP","0"
"AP_WHTCertLine_Trl","AP","0"
"AP_WHTDetail","AP","0"
"Approval_Action","Approval","0"
"Approval_Action_Trl","Approval","0"
"Approval_ActionDependence","Approval","0"
"Approval_AFDependence","Approval","0"
"Approval_Assignment","Approval","0"
"Approval_Assignment_Trl","Approval","0"
"Approval_AssignmentFeature","Approval","0"
"Approval_Dimension","Approval","483"
"Approval_Dimension_Trl","Approval","893"
"Approval_DimensionFeature","Approval","1338"
"Approval_DocumentType","Approval","362"
"Approval_DocumentType_Trl","Approval","533"
"Approval_Event","Approval","3207"
"Approval_Event_Subscriber","Approval","220139"
"Approval_Group","Approval","1"
"Approval_Group_Trl","Approval","1"
"Approval_GroupFeature","Approval","1"
"Approval_Process","Approval","0"
"Approval_ProcessDependence","Approval","0"
"Approval_Result","Approval","0"
"AR_ApplyMatchSetBEHead","AR","2"
"AR_ApplyMatchSetBEHead_Trl","AR","2"
"AR_ApplyMatchSetBELine","AR","0"
"AR_ARAdjustDocType","AR","12"
"AR_ARAdjustDocType_Trl","AR","12"
"AR_ARAdjustHead","AR","0"
"AR_ARAdjustHead_Trl","AR","0"
"AR_ARAdjustLine","AR","0"
"AR_ARAdjustLineForUI","AR","0"
"AR_ARAPCADocType","AR","12"
"AR_ARAPCADocType_Trl","AR","12"
"AR_ARAPCAHead","AR","736"
"AR_ARAPCAHead_Trl","AR","736"
"AR_ARAPCALine","AR","48130"
"AR_ARAPCALineForUI","AR","7862"
"AR_ARAPCAMCXRData","AR","0"
"AR_ARApplyDocTypeSet","AR","13"
"AR_ARApplyDocTypeSet_Trl","AR","13"
"AR_ARApplyHead","AR","6683"
"AR_ARApplyHead_Trl","AR","6683"
"AR_ARApplyLine","AR","233870"
"AR_ARApplyMCXRData","AR","12"
"AR_ARAutoAdjustCfg","AR","0"
"AR_ARBillAddress","AR","39698"
"AR_ARBillAddress_Trl","AR","25822"
"AR_ARBillBatch","AR","0"
"AR_ARBillBatch_Trl","AR","0"
"AR_ARBillContactMan","AR","28513"
"AR_ARBillContactMan_Trl","AR","7256"
"AR_ARBillFeeDetail","AR","0"
"AR_ARBillHead","AR","21359"
"AR_ARBillHead_Trl","AR","21359"
"AR_ARBillLine","AR","298041"
"AR_ARBillLine_Trl","AR","297871"
"AR_ARBillLog","AR","367878"
"AR_ARBillMergeAccrueFeeDetail","AR","0"
"AR_ARBillMergeAccrueLine","AR","305040"
"AR_ARBillMergeAccrueLine_Trl","AR","298794"
"AR_ARBillMergeAccrueTaxDetail","AR","299464"
"AR_ARBillRCLine","AR","294583"
"AR_ARBillRCMatchLine","AR","342569"
"AR_ARBillRCTaxDetail","AR","290257"
"AR_ARBillTaxDetail","AR","292617"
"AR_ARCallUpLevel","AR","0"
"AR_ARCallUpLevel_Trl","AR","0"
"AR_ARCallUpRecord","AR","0"
"AR_ARCallUpRecord_Trl","AR","0"
"AR_ARCallUpRelatedStatement","AR","0"
"AR_ARCancelQABill","AR","0"
"AR_ARCancelQABill_Trl","AR","0"
"AR_ARCancelQABillLine","AR","0"
"AR_ARCancelQADocType","AR","12"
"AR_ARCancelQADocType_Trl","AR","12"
"AR_ARCTDocType","AR","15"
"AR_ARCTDocType_Trl","AR","15"
"AR_ARCTHead","AR","52"
"AR_ARCTHead_Trl","AR","52"
"AR_ARCTLine","AR","1374"
"AR_ARCTLineForUI","AR","189"
"AR_ARDocType","AR","423"
"AR_ARDocType_Trl","AR","423"
"AR_ARDocTypeAndExRateType","AR","0"
"AR_AREInvoiceSetConfig","AR","0"
"AR_ARForInvoice","AR","0"
"AR_ARForInvoice_Trl","AR","0"
"AR_ARHoldRecord","AR","0"
"AR_ARHoldType","AR","0"
"AR_ARHoldType_Trl","AR","0"
"AR_ARIncomeCostMatcherLog","AR","0"
"AR_ARInstalment","AR","298041"
"AR_ARInstalment_Trl","AR","298037"
"AR_ARInstalmentHistory","AR","0"
"AR_ARInstalmentHistory_Trl","AR","0"
"AR_ARInstalmentInvoice","AR","0"
"AR_ARInvoiceDocType","AR","140"
"AR_ARInvoiceDocType_Trl","AR","140"
"AR_ARInvoiceGoodsTransportLine","AR","0"
"AR_ARInvoiceHead","AR","0"
"AR_ARInvoiceHead_Trl","AR","0"
"AR_ARInvoiceLine","AR","0"
"AR_ARInvoiceLine_Trl","AR","0"
"AR_ARMatcherLogLine","AR","0"
"AR_ARMergeAccrueInvoice","AR","7914"
"AR_ARMergeAccrueSrcDetail","AR","0"
"AR_ARPeriodClose","AR","4662"
"AR_ARPostedBalance","AR","432457"
"AR_ARPostedBalance_Trl","AR","432457"
"AR_ARPostedDetail","AR","845999"
"AR_ARPostedDetail_Trl","AR","1009772"
"AR_ARProcessLog","AR","0"
"AR_ARStatementRecord","AR","0"
"AR_ARStatementRecord_Trl","AR","0"
"AR_ARStatistic","AR","87386"
"AR_ARStatistic_Trl","AR","87386"
"AR_ARToGL","AR","22230"
"AR_ARToGL_Trl","AR","0"
"AR_ARUpdateSrcLogs","AR","1324"
"AR_ARXGALDocType","AR","12"
"AR_ARXGALDocType_Trl","AR","12"
"AR_ARXGALHead","AR","106"
"AR_ARXGALHead_Trl","AR","106"
"AR_ARXGALLine","AR","26469"
"AR_BadDebtHappenDocType","AR","12"
"AR_BadDebtHappenDocType_Trl","AR","12"
"AR_BadDebtHappenHead","AR","1"
"AR_BadDebtHappenHead_Trl","AR","1"
"AR_BadDebtHappenLine","AR","1"
"AR_BadDebtHappenLineForUI","AR","1"
"AR_BadDebtRecoveryHead","AR","0"
"AR_BadDebtRecoveryHead_Trl","AR","0"
"AR_BadDebtRecoveryLine","AR","0"
"AR_BadDebtRecoveryLineForUI","AR","0"
"AR_BadDebtReserveBal","AR","249"
"AR_BadDebtsRetractDocType","AR","12"
"AR_BadDebtsRetractDocType_Trl","AR","12"
"AR_DeriveBadDebtDocType","AR","13"
"AR_DeriveBadDebtDocType_Trl","AR","13"
"AR_DeriveBadDebtPeriod","AR","249"
"AR_DeriveBadDebtReserve","AR","10631"
"AR_DeriveBadDebtReserveDetail","AR","2"
"AR_DeriveBadDebtReserveMain","AR","192"
"AR_DeriveBadDebtReserveMain_Trl","AR","192"
"AR_EntityTypeDic","AR","4677"
"AR_MemosRelateInvoiceDetail","AR","4890"
"AR_RecBatch","AR","0"
"AR_RecBatch_Trl","AR","0"
"AR_RecBillHead","AR","5725"
"AR_RecBillHead_Trl","AR","5725"
"AR_RecBillHeadCheckHistory","AR","0"
"AR_RecBillHeadCheckHistory_Trl","AR","0"
"AR_RecBillLine","AR","6443"
"AR_RecBillLine_Trl","AR","6443"
"AR_RecBillUseLine","AR","7319"
"AR_RecBillUseLine_Trl","AR","7319"
"AR_RecBillUseLineCheckHistory","AR","0"
"AR_RecBillUseLineCheckHistory_Trl","AR","0"
"AR_RecDetail","AR","0"
"AR_RecDocType","AR","52"
"AR_RecDocType_Trl","AR","52"
"AR_ReceivalProcessLog","AR","198898"
"ARModuleHisLog","ARModuleHisLog","0"
"aspnet_Applications","aspnet","5"
"aspnet_Catalog","aspnet","0"
"aspnet_Membership","aspnet","0"
"aspnet_Parts","aspnet","13891"
"aspnet_Paths","aspnet","362"
"aspnet_PersonalizationAllUsers","aspnet","0"
"aspnet_PersonalizationPerUser","aspnet","0"
"aspnet_Profile","aspnet","386"
"aspnet_Profile_QuickMenu","aspnet","1721"
"aspnet_Profile_QuickMenu_Config","aspnet","399"
"aspnet_Roles","aspnet","0"
"aspnet_SchemaVersions","aspnet","6"
"aspnet_Users","aspnet","794"
"aspnet_UsersInRoles","aspnet","0"
"aspnet_WebEvent_Events","aspnet","0"
"ATP_ATPAccount","ATP","0"
"ATP_ATPDemand","ATP","0"
"ATP_ATPSupply","ATP","0"
"ATP_LackSupply","ATP","0"
"ATP_Reserve","ATP","0"
"ATP_ReserveClearLog","ATP","0"
"ATP_ReserveDemand","ATP","0"
"ATP_ReserveDemand_Trl","ATP","0"
"ATP_ReserveSupply","ATP","0"
"ATP_ReserveTransRelation","ATP","0"
"bak_Approval_Action","bak","0"
"bak_Approval_Action_Trl","bak","0"
"bak_Approval_ActionDependence","bak","0"
"bak_Approval_AFDependence","bak","0"
"bak_Approval_Assignment","bak","0"
"bak_Approval_Assignment_Trl","bak","0"
"bak_Approval_AssignmentFeature","bak","0"
"bak_Approval_Dimension","bak","453"
"bak_Approval_Dimension_Trl","bak","860"
"bak_Approval_DimensionFeature","bak","1259"
"bak_Approval_DocumentType","bak","260"
"bak_Approval_DocumentType_Trl","bak","368"
"bak_Approval_Group","bak","0"
"bak_Approval_Group_Trl","bak","0"
"bak_Approval_GroupFeature","bak","0"
"bak_Approval_Process","bak","0"
"bak_Approval_ProcessDependence","bak","0"
"bak_Approval_Result","bak","0"
"bak_ubf_assemble_menu","bak","3053"
"bak_ubf_md_attribute","bak","566077"
"bak_ubf_md_class","bak","39777"
"bak_ubf_md_uiaction","bak","71452"
"bak_ubf_md_uicontrol","bak","213982"
"bak_ubf_md_uifield","bak","579861"
"bak_ubf_md_uiform","bak","8060"
"BarCode_BarCodeBeUsed","BarCode","0"
"BarCode_BarCodeMaster","BarCode","0"
"BarCode_BarCodeRelation","BarCode","0"
"BarCode_BarCodeRule","BarCode","0"
"BarCode_BarCodeRuleLine","BarCode","0"
"BarCode_BarCodeSequence","BarCode","0"
"BarCode_InvCheckBarCode","BarCode","0"
"BarCode_MiscBarCode","BarCode","0"
"BarCode_ProductBarCode","BarCode","0"
"BarCode_ShipBarCode","BarCode","0"
"BarCode_TransInBarCode","BarCode","0"
"BarCode_UserPrinterCorrespond","BarCode","0"
"Base_AccountCalendar","Base","1"
"Base_AccountCalendar_Trl","Base","1"
"Base_AccountingPeriod","Base","636"
"Base_AccountSegmentProfile","Base","0"
"Base_AccountStandard","Base","1"
"Base_AccountStandard_Trl","Base","1"
"Base_Address","Base","1"
"Base_Application","Base","108"
"Base_Application_Custom","Base","0"
"Base_Application_Custom_Trl","Base","0"
"Base_Application_Trl","Base","229"
"Base_AppPortal","Base","2"
"Base_AppPortal_Trl","Base","2"
"Base_ApprovalEntity_Map","Base","2"
"Base_ApprovalStatus_Map","Base","13"
"Base_ApproveAssign","Base","0"
"Base_Attachment","Base","111652"
"Base_Attachment_BIP","Base","0"
"Base_Attachment_Signature","Base","0"
"Base_Attachment_Trl","Base","111652"
"Base_AttachmentMap","Base","0"
"Base_AttributeBatchSet","Base","0"
"Base_AttributeBatchSet_Trl","Base","0"
"Base_AttributeBatchSetLog","Base","0"
"Base_AutoExchangeRate","Base","0"
"Base_AutoExchangeRate_Trl","Base","0"
"Base_AutoExchangeRateLine","Base","0"
"Base_AvailablePostalCode","Base","15"
"Base_BasicRule","Base","338"
"Base_BasicRule_Trl","Base","338"
"Base_BeepPager","Base","0"
"Base_City","Base","397"
"Base_City_Trl","Base","794"
"Base_Contact","Base","3203"
"Base_Contact_Trl","Base","3203"
"Base_ContactRelation","Base","0"
"Base_Country","Base","28"
"Base_Country_Trl","Base","53"
"Base_County","Base","76"
"Base_County_Trl","Base","136"
"Base_CrossValidateRule","Base","0"
"Base_CrossValidateRule_Trl","Base","0"
"Base_CrossValidateRuleLine","Base","0"
"Base_CrossValidateRuleLine_Trl","Base","0"
"Base_Currency","Base","12"
"Base_Currency_Trl","Base","23"
"Base_CurrencyFormat","Base","1"
"Base_CurrencyFormat_Trl","Base","2"
"Base_DataMaskConfig","Base","6"
"Base_DataMaskConfigLine","Base","8"
"Base_DataMaskRule","Base","4"
"Base_DataMaskRule_Trl","Base","28"
"base_DataPrivacy","base","0"
"base_DataPrivacyLine","base","0"
"Base_DateFormat","Base","1"
"Base_DateFormat_Trl","Base","2"
"Base_DefineValue","Base","1458"
"Base_DefineValue_Trl","Base","1458"
"Base_DescControlDimension","Base","3"
"Base_DescFlexCompileLog","Base","0"
"Base_DescFlexContext","Base","104"
"Base_DescFlexContext_Trl","Base","104"
"Base_DescFlexFieldDef","Base","52"
"Base_DescFlexFieldDef_Trl","Base","0"
"Base_DescFlexSegment","Base","225"
"Base_DescFlexSegment_Trl","Base","224"
"Base_DescFlexSegUseRule","Base","0"
"Base_DescFlexSegValueSetValue","Base","0"
"Base_DescSegDataSource","Base","31"
"Base_DescSegDataSourcePara","Base","10"
"Base_DesensitizeEntityRole","Base","0"
"Base_DynamicValueSetRule","Base","0"
"Base_ElectronicAccount","Base","12"
"Base_Email","Base","18"
"Base_EntityFieldsConfig","Base","0"
"Base_ExchangeRate","Base","6268"
"Base_ExchangeRateDef","Base","206"
"Base_ExchangeRateTable","Base","14"
"Base_ExchangeRateTable_Trl","Base","14"
"Base_ExpFunction","Base","174"
"Base_ExpFunction_Trl","Base","644"
"Base_ExpFunctionCategory","Base","17"
"Base_ExpFunctionCategory_Trl","Base","17"
"Base_Fax","Base","0"
"Base_FlexFieldFlow","Base","175"
"Base_FlexFieldFlow_Trl","Base","0"
"Base_GlobalDescFlexSegment","Base","9"
"Base_GlobalDescFlexSegment_Trl","Base","9"
"Base_HoldReason","Base","19"
"Base_HoldReason_Trl","Base","19"
"Base_HoldReasonUserRelation","Base","0"
"Base_HoldReleaseHis","Base","0"
"Base_HoldReleaseRelation","Base","3"
"Base_HWUser_SyncRecord","Base","0"
"Base_IM","Base","0"
"Base_InterfaceWhitelist","Base","0"
"Base_KeyFlexFieldDef","Base","23"
"Base_KeyFlexFieldDef_Trl","Base","22"
"Base_KeyFlexFieldStru","Base","29"
"Base_KeyFlexFieldStru_Trl","Base","29"
"Base_KeyFlexSegment","Base","30"
"Base_KeyFlexSegment_Trl","Base","30"
"Base_KeyFlexStruCompileLog","Base","27"
