表名,估算行数
"tblEMSEquipmentStateIGNLog","0"
"TBLEMSEQUIPMENTSTATELOG","111260"
"TBLEMSINSTBASIS","0"
"TBLEMSINSTEQPMAP","0"
"TBLEMSINSTPROPERTY","0"
"TBLEMSPARAMETER","9"
"TBLEMSVIOLATESTATUSCHANGE","0"
"TBLEMSVIOLATESTATUSXML_CLOB","0"
"TBLENTBROKERBASIS","0"
"TBLENTCUSTOMERBASIS","425"
"TBLENTCUSTOMERCONTACTOR","0"
"TBLENTCUSTOMERSHIPADDR","0"
"TBLENTCUSTOMERSHIPDECLARATION","0"
"TBLENTFORWARDERBASIS","0"
"TBLENTOSITEM","0"
"TBLENTSUBCONTRACTOR","0"
"TBLENTSUBCONTRACTORCONT","0"
"TBLENTSUBCONTRACTORVALUATION","0"
"TBLENTSUBCONTRACTORVALUATIONDETAIL","0"
"TBLENTTAKERBASIS","0"
"TBLEQPACCCATEGORYSTATEBASIS","0"
"TBLEQPACCESSORYBASIS","1"
"tblEQPAccessoryBasisLog","0"
"tblEQPAccessoryBasisLogReason","0"
"TBLEQPACCESSORYCATEGORY","1"
"TBLEQPACCESSORYLIFE","0"
"TBLEQPACCESSORYPROPERTY","0"
"TBLEQPACCESSORYTYPE","1"
"TBLEQPACCREPAIRBASIS","0"
"tblEQPACCRepairItem","0"
"TBLEQPACCSTATEBASIS","6"
"TBLEQPACCSTATECONTROL","7"
"TBLEQPALARM","0"
"TBLEQPALARMDETAIL","0"
"TBLEQPCARRIERBASIS","0"
"TBLEQPCARRIERCATEGORY","0"
"TBLEQPCARRIERTYPE","0"
"TBLEQPCOMPCYCLEBASIS","0"
"TBLEQPCONSUMEBASIS","0"
"TBLEQPCYCLEBASIS","0"
"TBLEQPDATACOLLECTION_1001","0"
"TBLEQPDATACOLLECTION_1002","0"
"TBLEQPDATACOLLECTION_1003","0"
"TBLEQPDATACOLLECTION_1004","0"
"TBLEQPDATACOLLECTION_1005","0"
"TBLEQPDATACOLLECTION_1006","0"
"TBLEQPDATACOLLECTION_1007","0"
"TBLEQPDATACOLLECTION_1008","0"
"TBLEQPDATACOLLECTION_1009","0"
"TBLEQPDATACOLLECTION_1010","0"
"TBLEQPDATACOLLECTION_1011","0"
"TBLEQPDATACOLLECTION_1012","0"
"TBLEQPDATACOLLECTION_1013","0"
"TBLEQPDATACOLLECTION_1014","0"
"TBLEQPDATACOLLECTION_1015","0"
"TBLEQPDATACOLLECTION_1016","0"
"TBLEQPDATACOLLECTION_1017","0"
"TBLEQPDATACOLLECTION_1018","0"
"TBLEQPDATACOLLECTION_1090","0"
"TBLEQPDATACOLLECTION_1091","0"
"TBLEQPDATACOLLECTION_F1001","0"
"TBLEQPENGINEERGROUPBASIS","5"
"tblEQPEquipmentAccessoryMap","0"
"TBLEQPEQUIPMENTBASIS","747"
"tblEQPEquipmentCheckUpRate","336"
"TBLEQPEQUIPMENTPROPERTY","0"
"tblEQPEquipmentReason","16138"
"TBLEQPEQUIPMENTSKILL","0"
"TBLEQPEQUIPMENTTYPE","26"
"TBLEQPEQUIPMENTTYPE_PICTURE","0"
"tblEQPEquipmentTypeACCCategory","0"
"TBLEQPEQUIPMENTTYPEACCTYPE","0"
"TBLEQPFAVORITE","0"
"TBLEQPGROUPBASIS","74"
"TBLEQPGROUPBASIS_APS","0"
"TBLEQPGROUPDETAIL","389"
"TBLEQPGROUPDETAIL_APS","0"
"TBLEQPLOCATORDETAIL","0"
"TBLEQPLOCATORDETAILLOG","0"
"TBLEQPLOCATORSTATUS","0"
"TBLEQPLOTPRODQTYSTATE","12820"
"TBLEQPMASKGROUPBASIS","0"
"TBLEQPMASKGROUPDETAIL","0"
"TBLEQPMTTRSUMMARY","0"
"tblEQPParameterBasis","0"
"TBLEQPPARTRELATION","0"
"TBLEQPPARTSTATE","0"
"TBLEQPQCLISTBASIS","115"
"TBLEQPQCLISTDETAIL","1063"
"TBLEQPRECIPEBASIS","0"
"TBLEQPRECIPEDETAIL","0"
