表名,估算行数
"TBLPRDESOPLOG","87"
"TBLPRDFTPROGRAMBASIS","0"
"TBLPRDFTPROGRAMBIN","0"
"tblPRDGroupLabelBasis","0"
"tblPRDGroupLabelMAP","0"
"tblPRDLabel_OP","17"
"tblPRDLabel_PRD","0"
"tblPRDLabel_PRDOP","27"
"TBLPRDLABELBASIS","24"
"TBLPRDLABELDETAIL","461"
"TBLPRDLABELMAP","0"
"TBLPRDLIMITEDTIMECONTROL","0"
"TBLPRDLIMITEDTIMECONTROLLOG","0"
"TBLPRDLIMITEDTIMEHOLDREASON","0"
"TBLPRDMODULEBASIS","0"
"tblPRDNCCodeBasisNew","0"
"TBLPRDOP","53518"
"TBLPRDOPAREA","62466"
"TBLPRDOPATTRIB","0"
"TBLPRDOPBUSINESSRULE","39838"
"TBLPRDOPBUSINESSRULERELATION","119514"
"TBLPRDOPCAPITEM","0"
"TBLPRDOPDESCRIPTION","35970"
"TBLPRDOPEQPRECIPE","0"
"tblPRDOPPrice","0"
"TBLPRDOPQCITEMPARAMETER","0"
"TBLPRDOPRULE","0"
"TBLPRDOPRULEXML_CLOB","0"
"TBLPRDOPSUBOP","0"
"tblPRDOPSUBOPPrice","0"
"tblPRDOPUnitConversion","0"
"TBLPRDPACKAGETYPE","0"
"TBLPRDPACKINGACCESSORY","0"
"TBLPRDPACKINGLABELRULEBASIS","0"
"TBLPRDPACKINGLABELRULEDETAIL","0"
"TBLPRDPACKINGLABELRULEDETAIL_M","0"
"TBLPRDPACKINGRULEACCESSORY","0"
"TBLPRDPACKINGRULEBASIS","0"
"TBLPRDPACKINGRULEMAP","0"
"TBLPRDPACKINGSERIALRULEBASIS","0"
"TBLPRDPACKINGSERIALRULEDETAIL","0"
"tblPRDPackRuleBasis","0"
"tblPRDPackRuleDetail","0"
"tblPRDPackRuleMap","0"
"tblPRDPackRuleRelation","0"
"TBLPRDPRODUCT_PICTURE","0"
"TBLPRDPRODUCTBASIS","32551"
"TBLPRDPRODUCTENGNO","0"
"TBLPRDPRODUCTIONINF","2"
"TBLPRDPRODUCTIONINFCLASSCONFIG","1"
"TBLPRDPRODUCTIONINFCONFIG","1"
"TBLPRDPRODUCTIONINFDATA","231"
"tblPRDProductIoninfGroup","5"
"TBLPRDPRODUCTLABELRULEBASIS","0"
"TBLPRDPRODUCTLABELRULEDETAIL","0"
"TBLPRDPRODUCTLABELRULEDETAIL_M","0"
"TBLPRDPRODUCTOPEARTORSET","0"
"TBLPRDPRODUCTPARAMETERS","0"
"TBLPRDPRODUCTPROCESS","15657"
"TBLPRDPRODUCTPROGRAMS","0"
"TBLPRDPRODUCTPROPERTY","0"
"TBLPRDPRODUCTSERIALRULEBASIS","0"
"TBLPRDPRODUCTSERIALRULEDETAIL","0"
"TBLPRDPROGRAMBASIS","0"
"tblPRDProperty","0"
"TBLPRDPRSOPAPSBASE","8"
"TBLPRDPRSOPAPSBASEDETAIL","52"
"TBLPRDPRSOPAPSSETUP","3"
"TBLPRDPRSOPAPSSETUPDETAIL","0"
"TBLPRDQCITEM","0"
"TBLPRDQCRULEBASIS","0"
"tblPRDQuantityConversion","0"
"TBLPRDRECIPE","0"
"TBLPRDRECIPEBASIS","0"
"TBLPRDRECIPEDETAIL","0"
"TBLPRDRUNTIMERENEW","0"
"TBLPRDRUNTIMESETUP","197948"
"TBLPRDRUNTIMESETUPLOG","0"
"TBLPRDSAMPLEPOSITION_FAB","0"
"TBLPRDSAMPLERULE_FAB","0"
"TBLPRDSMTTOOLTYPE","0"
"TBLPRDSTAGESTEPSET","0"
"TBLPRDSTAGESTEPSETDETAIL","0"
"tblPRDStartInspection","0"
"TBLPRDSUBOPBASIS","18"
"TBLPRDSUBOPCOLLECTION","0"
"TBLPRDSUBOPCOLLECTION_MTL","0"
"TBLPRDSUBOPQCITEM","0"
"TBLPRDTYPE","4"
"TBLPRDTYPESMTTOOLTYPE","0"
"TBLPRSNODEBASIS","3311"
"TBLPRSNODEBASISRUNCARD","2920"
"TBLPRSNODECHECKOUTGROUP","0"
"TBLPRSNODERELATION","2654"
"TBLPRSNODERELATIONRUNCARD","2654"
"TBLPRSNODEXML_CLOB","0"
"TBLPRSPROCESSBASIS","307"
"TBLPRSPROCESSPROPERTY","0"
"TBLPRSPRODUCTIONSEGMENT","4"
"TBLPRSTYPE","6"
"tblPSSectionBasis","0"
"tblPSSectionBasisDetail","0"
"tblPSSectionNodeBasis","0"
"tblPSSectionProcessBasis","0"
"tblPSUserTemplateBasis","0"
"tblPSUserTemplateSort","0"
"TBLQCABNORMALBASIS","0"
"TBLQCABNORMALPOSITION","0"
"TBLQCABNORMALREPAIRMAP","0"
"TBLQCABNORMALTYPE","0"
"TBLQCAQL","0"
"TBLQCAQLPARAMETER_AQL","25"
"TBLQCAQLPARAMETER_AQLTYPE","3"
"TBLQCAQLPARAMETER_SLEVEL","7"
"TBLQCATTRULEBASIS","0"
"TBLQCATTRULEBASIS_TAPE","0"
"TBLQCATTRULEDETAIL","0"
"TBLQCATTRULEDETAIL_TAPE","0"
"TBLQCCALCULATESCRIPT","0"
"TBLQCCATEGORYBASIS","0"
"TBLQCFINALGROUP","1"
"TBLQCFIRSTGROUP","25"
"tblQCGroupDeductionBasis_PMI","0"
"TBLQCHOLDDESCRIPTION","1"
"TBLQCHOLDDISPGROUPBASIS","2"
"TBLQCHOLDITEMBASIS","1"
"TBLQCIMPORTDATA","0"
"TBLQCIMPORTSIPSETTINGEXCEL","0"
"TBLQCIMPORTVARMEASUREDATA","0"
"TBLQCINSPDRIVER","0"
"TBLQCINSPMACHINEBASIS","0"
"TBLQCINSPMACHINEPARAMETER","0"
"TBLQCINSPMACHINEPARAMETERTYPE","0"
"TBLQCINSPMACHINEPROPERTY","0"
"TBLQCINSPMACHINETYPE","0"
"TBLQCITEMATTGORDERDETAIL","0"
"TBLQCITEMATTGROUPORDERBASIS","0"
"TBLQCITEMFACTOR","5784"
"TBLQCITEMFORATTRIBUTES","1077"
"TBLQCITEMFORATTRIBUTES_DefectRate","0"
"TBLQCITEMFORVARIABLES","1815"
"TBLQCITEMFORVARIABLES_Kanban","0"
"TBLQCITEMFORVARIABLES_ScatterPlot","0"
"TBLQCITEMFORVARIABLES_Trend","0"
"TBLQCITEMGROUPBASIS","0"
"tblQCItemGroupBasis_PMI","0"
"TBLQCITEMGROUPDETAIL","0"
"tblQCItemGroupDetail_PMI","0"
"TBLQCITEMPARAMETER","2"
"TBLQCITEMREASONMAP","2860"
"TBLQCITEMRULE","0"
"TBLQCMCLASSBASIS","1"
"tblQCMILSTD105E_Code","30"
"tblQCMILSTD105E_Normal","16"
"tblQCMILSTD105E_Reduced","16"
"tblQCMILSTD105E_Tightened","17"
"TBLQCOBJECTBASIS","279"
"TBLQCOBJECTDATATEMP","9"
"TBLQCOBJECTFILE","0"
"TBLQCOBJECTITEMMAP","2907"
"TBLQCOBJECTITEMMAP_SCRIPT","0"
"TBLQCOBJECTNODEDEF","0"
"TBLQCOBJECTTYPE","4"
"TBLQCOBJECTUSERMAP","279"
"TBLQCOBJECTVERSIONRECORD","33"
"TBLQCOPPORTUNITYBASIS","0"
"TBLQCREASONBASIS","208"
"TBLQCReasonDetail","13663"
"TBLQCREASONSUBTYPEBASIS","9"
"TBLQCREPAIRBASIS","0"
"TBLQCRESPRODUCTGROUP","0"
"TBLQCRULEBASIS","11"
"TBLQCSAMPLEPLANCHANGE","0"
"TBLQCSAMPLING1916","198"
"TBLQCSAMPLINGAREA_WAFER","0"
"TBLQCSAMPLINGFOR2NDINSP","0"
"TBLQCSAMPLINGPARAMETER","34"
"TBLQCSAMPLINGPLAN","16"
"TBLQCSAMPLINGPLAN_WAFER","0"
"TBLQCSAMPLINGRANGE","0"
"TBLQCSAMPLINGTABLE","0"
"TBLQCSCLASSBASIS","1"
"TBLQCSPECATTBASIS","0"
"TBLQCSPECBASIS","0"
"TBLQCSPECDETAIL","0"
"TBLQTErpSetting","1"
"TBLQTRBASIS","1"
"TBLQTRCONDITIONDETAIL","23"
"TBLQTRMUTIREPORTMAP","2"
"TBLQTRPARAMETER","0"
"tblRPTAccordNetANOVA","0"
"tblRPTAccordNetRANdom","0"
"TBLRPTBILLBOARDOPOUTPUTCONFIG","0"
"TBLRPTBILLBOARDOPOUTPUTCONTENT","0"
"TBLRPTBILLBOARDOPSTATECONFIG","0"
"TBLRPTBILLBOARDOPSTATECONTENT","0"
"TBLRPTCATCHTABLE","0"
"TBLRPTCATCHTABLERELATION","0"
"TBLRPTCATCHTABLEXML_CLOB","0"
"TBLRPTCHARTCONDITION","19"
"TBLRPTColumnDetial","8"
"TBLRPTColumnSetting","4"
"tblRPTEQPOEELot","0"
"tblRPTEQPOEESummary","0"
"TBLRPTGROUPCONDITION","40"
"TBLRPTRELATECONDITION","546"
"TBLRPTREPORT","13"
"TBLRPTREPORTBASIS","252"
"TBLRPTREPORTGROUPBASIS","0"
"TBLRPTREPORTLAYOUT","0"
"TBLRPTREPORTMAP","74"
"TBLRPTREPORTMAP_METHOD","11"
"TBLRPTREPORTMAP_TARGET","8"
"TBLRPTREPORTPRINCIPLE","0"
"TBLRPTREPORTQUERYLOG","0"
"TBLRPTSCRIPTCONDITION","745"
"tblRPTStatisticsCondition","0"
"TBLRPTSUBSCRIPTION","0"
"TBLRPTSUBSCRIPTIONCOND","0"
"TBLRPTSUBSCRIPTIONPERIOD","0"
"TBLRPTTABLECONDITION","0"
"TBLRPTTIMESTEPBASIS","2"
"TBLRPTTRACEBASIS","29"
"TBLRPTTRACECONDITIONDETAIL","123"
"TBLRPTTRACECONDITIONSDETAIL","0"
"TBLRPTTRACERESULTDETAIL","265"
"TBLRPTTRACERESULTSDETAIL","0"
"TBLRPTVISIBLEFIELD","0"
"TBLSCHAUTORUNJOB","36"
"TBLSCHAUTORUNLOG","0"
"TBLSCHAUTORUNQUEUE","0"
"TBLSCPRODSPECIALCHAR","0"
"TBLSCSPECIALCHARTYPE","0"
"TBLSEQPCSCOLLBASIS","0"
"TBLSEQPCSCOLLDETAIL","0"
"TBLSEQPCSCOLLDETAIL_MTL","0"
"TBLSEQPCSCOLLPRDTYPE","0"
"TBLSEQWRITEINLOG","0"
"tblSlightColourBasis","0"
"tblSLightEQPState","1"
"tblSLightEQPStateLog","5"
"tblSLightMeasureBasis","2"
"TBLSLightReasonBasis","48"
"tblSLightReceiveLog","0"
"tblSLightState","36"
"tblSLightTypeBasis","5"
"TBLSMDAREABASIS","158"
"TBLSMDAREAINVENTORY","192"
"TBLSMDAREAMAP","0"
"TBLSMDAREAOPERATOR","0"
"TBLSMDAREARELATION","402"
"TBLSMDAREASHIFT","0"
"TBLSMDAREAWIPLOCATION","0"
"TBLSMDCOMPUTERAREABASIS","0"
"TBLSMDCOMPUTERAREADETAIL","0"
"TBLSMDFACTORYBASIS","8"
"TBLSMDPDLINEBASIS","0"
"tblSMDPDLinePositionBasis","0"
"TBLSMDPDLINEPOSITIONSKILL","0"
"TBLSMDSMTAREAEQPMAP","691"
"tblSMTAreaBasis","0"
"tblSMTAreaEQP","0"
"tblSMTAreaOnWork","0"
"tblSMTAreaOnWorkDetail","0"
"tblSMTCMList","0"
"tblSMTCMListDetail","0"
"tblSMTCMListTool","0"
"tblSMTCMResult","0"
"tblSMTCMResultDetail","0"
"TblSMTCont_PCSNo","0"
"TblSMTCont_PCSNoMapping","0"
"TblSMTCont_PCSNoMappingLog","0"
"TblSMTCont_PCSNoTestLog","0"
"TBLSMTDRYCOMPDRYTIME","0"
"TBLSMTDRYCOMPONENT","0"
"TBLSMTDRYCOMPOPENTIME","0"
"tblSMTEQPCheckProduct","0"
"tblSMTEQPCheckProductTool","0"
"tblSMTEQPResource","0"
"tblSMTEQPResourceDetail","0"
"tblSMTEQPSlot","0"
"tblSMTFeederBasis","0"
"tblSMTFeederList","0"
"tblSMTFeederListEQP","0"
"tblSMTFeederListEQPMat","0"
"tblSMTFeederListEQPMatS","0"
"TBLSMTFEEDERSPLICEREEL","0"
"tblSMTFeederType","0"
"tblSMTFeederTypeEQP","0"
"TBLSMTICBURNINGLOG","0"
"TBLSMTLOTEQPRESOURCELOG","0"
"TBLSMTLOTMTLSKIPLOG","0"
"TBLSMTLOTPCSNOTRANSCODE","0"
"TBLSMTLOTPCSUNBUNDLING","0"
"TBLSMTLOTPCSUNBUNDLINGMAT","0"
"tblSMTMaintainBasis","0"
"tblSMTMaintainParts","0"
"tblSMTMaintainReason","0"
"tblSMTMaterialChangeLog","0"
"tblSMTMFUBasis","0"
"tblSMTMFUType","0"
"tblSMTMFUTypeEQP","0"
"TBLSMTMOUNTERMTLLOG","0"
"TBLSMTMOUNTERMTLLOG_MOVE","0"
"TBLSMTMOUNTERMTLLOGDETAIL","0"
"TBLSMTMOUNTERMTLLOGDETAIL_MOVE","0"
"TBLSMTMSDCONTROLLOG","0"
"TBLSMTMSDOPENLOG","0"
"TBLSMTMTLREVERSELOG","0"
"TBLSMTMTLREVERSESTATE","0"
"TBLSMTOPSEQPROCESSBASIS","0"
"TBLSMTOPSEQPROCESSDETAIL","0"
"TBLSMTOPSEQPROCESSPRD","0"
"TBLSMTPARTDISABLE","0"
"TBLSMTPCBONLINELOG","0"
"TblSMTPCSNoLog","0"
"tblSMTPCSNoPacking","0"
"TBLSMTPCSNOTRANSFERDELLOG","0"
"TBLSMTPCSNOTRANSFERLOG","0"
"TBLSMTPCSOPENLOG","0"
"TBLSMTPCSVEHICLELOG","0"
"TBLSMTPCSVEHICLESTATE","0"
"TBLSMTPICKLIST","0"
"TBLSMTPICKLISTDETAIL","0"
"TBLSMTPRDVEHICLELOG","0"
"tblSMTProcessBasis","0"
"tblSMTProcessDetail","0"
"TBLSMTPROCESSLOTBASIS","0"
"TBLSMTPROCESSLOTDETAIL","0"
"TBLSMTPROCESSQCITEM","0"
"tblSMTProductPostInLog","0"
"tblSMTProductPostOutLog","0"
"TBLSMTPRODUCTPOSTWARNLOG","0"
"tblSMTReasons","0"
"TBLSMTREASONSAREAEQP","0"
"tblSMTReelBasis","0"
"TBLSMTREELRECEIVE_WMSLOG","0"
"TBLSMTREELRETURN","0"
"TBLSMTREELWMSCHANGELOG","0"
"tblSMTResourceActionLog","0"
"tblSMTResourceStateLog","0"
"tblSMTSlotAreaBasis","0"
"tblSMTToolBasis","0"
"tblSMTToolType","0"
"TBLSPCACCORDNETRANDOM_TEMP","0"
"TBLSPCANOVADATA_TEMP","0"
"TBLSPCATTBASISLOG","203"
"TBLSPCATTCHARTLIMIT","0"
"TBLSPCATTDETAILLOG","22"
"TBLSPCATTDETAILLOG_TAPE","0"
"TBLSPCATTDETAILLOGCOMPONENT","0"
"TBLSPCATTDETAILLOGSECTION","0"
"TBLSPCATTEDITLOG","0"
"TBLSPCATTLIMIT","0"
"TBLSPCATTVIOLATIONCONTENT","0"
"TBLSPCAUTORPTATTHISTORY","0"
"TBLSPCAUTORPTMNTHVARCHART","0"
"TBLSPCAUTORPTPARETO","0"
"TBLSPCCOADISPLAYSETBASIS","0"
"TBLSPCCOADISPLAYSETBASIS_UPDATE","0"
"TBLSPCCOADISPLAYSETDETAIL","0"
"TBLSPCCOAREPORT","0"
"TBLSPCERF_ATTACHFILE","0"
"TBLSPCERFBASIS","6"
"TBLSPCERFDisposeAttachFile","0"
"TBLSPCERFDisposition","7"
"TBLSPCERFEDITLOG","0"
"TBLSPCERFHOLDREASON","4"
"TBLSPCFQCFORM","0"
"TBLSPCFQCFORMQCITEMMAP","0"
"tblSPCGroupDeductionLog_PMI","0"
"TBLSPCIMPORTDATA","0"
"TBLSPCINCOMINGQCFORM","0"
"TBLSPCINCOMINGQCFORMQCITEMMAP","0"
"TBLSPCIPQCFORM","0"
"TBLSPCIPQCFORMQCITEMMAP","0"
"TBLSPCIQCCOMPONENT","0"
"TBLSPCIQCFORMCOMPONENT","0"
"TBLSPCIQCFORMCOMPQCITEMMAP","0"
"TBLSPCLIMIT","0"
"TBLSPCLOGFORSPLANCHANGE","0"
"TBLSPCLOTQCLIST","0"
"TBLSPCMONTHRPTCODE","0"
"TBLSPCNORMALITYTESTDATA_TEMP","0"
"TBLSPCOQCFORM","0"
"TBLSPCOQCFORMQCITEMMAP","0"
"TBLSPCPARETORPTCODE","0"
"TBLSPCPCHARTFAILLOG","0"
"TBLSPCQCATTRULEMAPBASIS","0"
"TBLSPCQCATTRULEMAPDETAIL","0"
"TBLSPCQCATTRULEMAPPARAMETER","0"
"TBLSPCQCCHARTATTBASIS","1101"
"TBLSPCQCCHARTBASIS","1833"
"TBLSPCQCCHARTDETAIL","5499"
"TBLSPCQCCHARTDETAILLOG","5892"
"TBLSPCQCCHARTEDITLOG","0"
"TBLSPCQCCHARTRULE","0"
"TBLSPCQCCHARTSAMPLANPARAMETER","0"
"tblSPCQCForm","101"
"TBLSPCQCFORM_PCSNo","0"
"TBLSPCQCFORMMERGESETTING","0"
"TBLSPCQCFORMPCSNOLIST","0"
"TBLSPCQCFORMQCITEMMAP","607"
"TBLSPCQCFORMQCITEMMAP_ATT","0"
"TBLSPCQCITEMPCSNOLIST","0"
"TBLSPCQCITEMPSCNOLOG","0"
"TBLSPCQCMERGEFORM","0"
"TBLSPCQCSPLITFORM","0"
"TBLSPCSTABLEQCFORM","0"
"TBLSPCSTABLEQCFORMQCITEMMAP","0"
"TBLSPCTESTVALUELIST","0"
"TBLSPCUSERFACTORVALUE","109"
"TBLSPCVARDETAILLOG","207"
"TBLSPCVARDETAILONLINE","133"
"TBLSPCVARDETAILTEMP","502"
"TBLSPCVAREDITLOG","0"
"TBLSPCVARFACTORLOG","159"
"TBLSPCVARFACTORONLINE","113"
"TBLSPCVARLIMITCONTENT","159"
"TBLSPCVARSTATISTICLOG","159"
"TBLSPCVARVIOLATIONCONTENT","49"
"TBLSPCXLSFILE","0"
"tblSUBOPPrice","0"
"TBLSYS2DSEPARATESIGN","4"
"TBLSYSARCHIVEBASIS","48"
"TBLSYSARCHIVECONFIG","0"
"TBLSYSARCHIVERELATION","0"
"TBLSYSBASISIMPORT","52"
"TBLSYSBASISIMPORTFAILEDLIST","16225"
"TBLSYSBIN","8"
"TBLSYSBULLETIN","0"
"TBLSYSCALENDAR","0"
"TBLSYSCOMPONENTPROPERTY","0"
"TBLSYSDATATMPORTLOG","0"
"TBLSYSEAIPRODUCTLIST","0"
"TBLSYSELEMENTBASIS","56"
"TBLSYSERPDOCUMENTLOG","26443"
"TBLSYSERPSETTING","3"
"TBLSYSERRORLOG","0"
"TBLSYSEVENTLOG","1808752"
"TBLSYSEVENTLOGDETAIL","596853"
"TBLSYSFAVOURITEBASIS","2465"
"TBLSYSFAVOURITEBASISEX","0"
"tblSYSFavouriteHomepage","67"
"TBLSYSFLOWBASIS","16"
"TBLSYSFLOWNODEBASIS","140"
"TBLSYSFLOWNODEXML_CLOB","15"
"TBLSYSFORMDESC","3053"
"TBLSYSFUNCTION","328"
"tblsysfunction_backup","455"
"TBLSYSFUNCTION_USER","1"
"TBLSYSFUNCTIONCONTROL","0"
"tblSYSFunctionEvent","0"
"TBLSYSGRIDCOLUMNSETTING","289"
"TBLSYSIMPORTPROCESS","0"
"TBLSYSISSUECONTROLFORM","0"
"TBLSYSLOTPROPERTYBASIS","0"
"TBLSYSMESPARAMETER","44"
"TBLSYSMESPARAMETERSQLCMD","0"
"TBLSYSMESPARAMETERSQLCMDMAP","0"
"TBLSYSMODELSYNCLOG","5534"
"TBLSYSMODULE","27"
"tblsysmodule_backup","22"
"TBLSYSMODULERPIV","0"
"TBLSYSMOPROPERTYBASIS","3"
"TBLSYSMOTYPEBASIS","3"
"TBLSYSOBJECTFILE","182"
"TBLSYSPAGENUMBERINFOBASIS","231"
"TBLSYSPARAMETER","220"
"TBLSYSPARAMETER_1116BAK","120"
"TBLSYSPHASEBASIS","2"
"TBLSYSROPROPERTYBASIS","0"
"TBLSYSSCANSERIALRULE","0"
"TBLSYSSCHEDULELOG","10720232"
"TBLSYSSENDTOEAIQUEUE","47"
"TBLSYSSENDTOEAIQUEUE_LOG","0"
"TBLSYSSERIALCONFIG","7"
"TBLSYSSERIALCREATEMAX","9610"
"TBLSYSSERIALNO","10"
"TBLSYSSERIALRULEBASIS","33"
"TBLSYSSERIALRULEDETAIL","468"
"tblSYSSyncCrossProdList","0"
"TBLSYSTABLEDESC","6703"
"TBLSYSTABLEMAP","2465"
"TBLSYSTEMPLATEFILE","0"
"TBLSYSTRANS","0"
"TBLSYSTRANS_ATTACHFILE","0"
"TBLSYSTRANS_CLOB","0"
"TBLSYSUNITBASIS","90"
"TBLSYSUSERMENU","0"
"TBLSYSVALUELIST","811"
"TBLSYSYEARDEFINITIONBASIS","24"
"TBLSYSYEARDEFINITIONONBASIS","0"
"TBLTEMPMATERIALIMPORT","0"
"TBLTEMPPCSIMPORT","0"
"TBLTRACEFORWARDMODELDETAIL","0"
"TBLTRACEMODELDETAIL","0"
"tblUsrCalendarBasis","2"
"TBLUSRCALENDARDAY","730"
"TBLUSRCALENDARSHIFTOFF","0"
"tblUSRCategoryBasis","1"
"TBLUSRCATEGORYDEATIL","0"
"tblUSRCategoryDetail","4"
"TBLUSRDEPARTMENTBASIS","441"
"TBLUSREXCEPTIONITEMBASIS","0"
"TBLUSRFAVORITE","25"
"TBLUSRGROUPBASIS","58"
"TBLUSRGROUPPRIV","5001"
"TBLUSRGROUPPRIVCONTROL","0"
"TBLUSROPERATORLOGINEXCEP","0"
"TBLUSROPERATORLOGINLOG","0"
"TBLUSROPERATORLOGINSTATE","0"
"TBLUSRPDLINEBASIS","0"
"TBLUSRPDLINESET","0"
"TBLUSRREASONBASIS","0"
"TBLUSRSHIFTBASIS","9"
"TBLUSRSHIFTEXCEPTIONTIME","0"
"tblUsrShiftGroup","1"
"tblUsrShiftGroupLine","2"
"TBLUSRSHIFTOFF","0"
"TBLUSRSKILLBASIS","0"
"TBLUSRSKILLGRADE","0"
"TBLUSRTITLEBASIS","0"
"TBLUSRUSERAGENT","0"
"TBLUSRUSERBASIS","2995"
"TBLUSRUSERGROUP","2469"
"TBLUSRUSERSKILL","0"
"TBLUSRWORKTIME","0"
"TBLUSRWORKTIMETEMPLATE","0"
"tblVEHTypeBasis","0"
"tblVEHVehicleBasis","0"
"TBLWIPABNORMALSTATE","0"
"TBLWIPADJUSTDETAIL","0"
"TBLWIPADJUSTLOG","0"
"tblWIPAlLotBasis","0"
"TBLWIPAREAOPERATORLOG","0"
"TBLWIPAREAOPERATORSTATE","0"
"TBLWIPAUTOMERGE","0"
"tblWIPBarCode","167581"
"tblWIPBarCodeDetail","167581"
"tblWIPBoxPacking","0"
"tblWIPBoxPackingMatrix","0"
"tblWIPBoxPackingOpenLog","0"
"TBLWIPCARRIERSTATE","0"
"TBLWIPCARRIERSTATEDETAIL","0"
"TBLWIPCARRIERSTATEDETAILLOG","0"
"TBLWIPCOMPONENTPROPERTY","0"
"TBLWIPCOMPONENTSTATE","0"
"TBLWIPCONT_ABNORMAL","0"
"TBLWIPCONT_ABNORMALREPAIR","0"
"TBLWIPCONT_ACCESSORY","0"
"TBLWIPCONT_ATTRIB","0"
"TBLWIPCONT_ATTRIBADJUSTLOG","0"
"TBLWIPCONT_BIN","0"
"TBLWIPCONT_COMPONENTATTRIB","0"
"tblWIPCont_DailyWorkEditLog","0"
"tblWIPCont_DailyWorkKeyValue","1"
"tblWIPCont_DailyWorkMESNO","0"
"tblWIPCont_DailyWorkReport","0"
"tblWIPCont_DailyWorkReport_ERP","0"
"tblWIPCont_DailyWorkReportLog","0"
"TBLWIPCONT_DEFECTCODE","0"
"TBLWIPCONT_EMPLOYEE","625419"
"TBLWIPCONT_EMPLOYEE_MULTIUSER","0"
"TBLWIPCONT_EQUIPMENT","280043"
"tblWIPCont_ERPMtlList","0"
"TBLWIPCONT_ERROR","11590"
"TBLWIPCONT_ERROR_RECORDS","0"
"TBLWIPCONT_LOTRECORD","0"
"TBLWIPCONT_LOTSNMAP","0"
"TBLWIPCONT_MATERIAL","6"
"TBLWIPCONT_MATERIALLOT","0"
"TBLWIPCONT_MATERIALLOTCOMP","0"
"TBLWIPCONT_OPWORKTIME","0"
"TBLWIPCONT_PARTIALIN","303511"
"TBLWIPCONT_PARTIALIN_PCSNO","0"
"tblWIPCont_PartialInOut","0"
"TBLWIPCONT_PARTIALOUT","321266"
"TBLWIPCONT_PARTIALOUT_PCSNO","0"
"TBLWIPCONT_PCS_LOG","0"
"tblWIPCont_PCSError","0"
"tblWIPCont_PCSErrorChangeLog","0"
"tblWIPCont_PCSMaterial","0"
"TBLWIPCONT_PCSMATERIALBACKUP","0"
"tblWIPCont_PCSMTLLot","0"
"tblWIPCont_PCSNo","0"
"tblWIPCont_PCSNO_WAIT","0"
"TBLWIPCONT_PCSNO_WAIT_ERROR","0"
"tblWIPCont_PCSNO_WAIT_LOG","0"
"TBLWIPCONT_PCSNOBACKUP","0"
"tblWIPCONT_PCSNoChangeLog","0"
"TBLWIPCONT_PCSNOWARNLOG","0"
"TBLWIPCONT_QCITEM","0"
"TBLWIPCONT_RESOURCE","3698572"
"tblWIPCont_Resource_Log","0"
"TBLWIPCONT_RESOURCE_OFFLINE","0"
"TBLWIPCONT_RESOURCE_SHARE","0"
"TBLWIPCONT_RTBIN","0"
"TBLWIPCONT_SAMPLEBIN","0"
"TBLWIPCONT_SAMPLECOMPONENT","0"
"TBLWIPCONT_SAMPLEPOINT","0"
"tblWIPCont_SubProductLog","0"
"tblWIPCountPartialinWaitLog","9144"
"TBLWIPDELETELOTLOG","105"
"TBLWIPDISPATCHACCESSORY","0"
"TBLWIPDISPATCHSET","64"
"TBLWIPDISPATCHSTATE","413983"
"TBLWIPDISPATCHSTATE_20260315","1"
"TBLWIPDISPATCHSTATE_ACCESSORY","0"
"TBLWIPECNATTRIB","0"
"TBLWIPECNATTRIBLOG","0"
"TBLWIPECNBASIS","0"
"TBLWIPECNLOG","0"
"TBLWIPEQPCONSUMELOG","0"
"TBLWIPEQPCONSUMESTATUS","0"
"TBLWIPEQPMATERIALLOG","3504"
"TBLWIPEQPMATERIALSTATE","512"
"TBLWIPEQPQCLISTDETAIL","265037"
"TBLWIPEQPQCLISTLOG","30051"
"TBLWIPEQUIPMENTPRODUCTIVITY","0"
"TBLWIPERF_ATTACHFILE","0"
"TBLWIPERFBASIS","0"
"TBLWIPERFBATCHLOT","0"
"TBLWIPERFCREATEDATA","0"
"TBLWIPERFDISPOSITION","0"
"TBLWIPERFHOLDREASON","0"
"TBLWIPERFHOLDREASONDISP","0"
"TBLWIPERFLOTDISPOSITION","0"
"TBLWIPFIRSTCHECK","10577"
"TBLWIPFIRSTCHECK_PCSNO","0"
"TBLWIPFIRSTCHECKDETAIL","76601"
"TBLWIPFIRSTCHECKFILES","10"
"TBLWIPFUTUREHOLD","0"
"TBLWIPFUTUREHOLDLOG","0"
"TBLWIPFUTUREHOLDREASON","0"
"TBLWIPFUTUREOS","0"
"TBLWIPFUTUREOSLOG","0"
"TBLWIPFUTUREWAIT","0"
"TBLWIPFUTUREWAITLOG","0"
"TBLWIPGOODBINSTATE","0"
"TBLWIPINVCOUNTDETAIL","0"
"TBLWIPINVCOUNTDETAIL_MTL","0"
"TBLWIPINVCOUNTDETAIL_PRD","0"
"TBLWIPINVCOUNTSTATE","0"
"TBLWIPLACKMATERIALRELEASELOG","0"
"TBLWIPLAYOUT","0"
"tblWIPLeanDataAcquisition","0"
"tblWIPLeanDataAcquisitionLog","0"
"TBLWIPLIMITEDTIMECONTROL","0"
"tblWIPLot_Report_Offline","0"
"TBLWIPLOTADJUSTBASIS","0"
"TBLWIPLOTADJUSTDETAIL","0"
"TBLWIPLOTBASIS","99589"
"TBLWIPLOTECNATTRIB","0"
"TBLWIPLotEQPChangeLog","263"
